,weight,feed
0,179,horsebean
1,160,horsebean
2,136,horsebean
3,227,horsebean
4,217,horsebean
5,168,horsebean
6,108,horsebean
7,124,horsebean
8,143,horsebean
9,140,horsebean
10,309,linseed
11,229,linseed
12,181,linseed
13,141,linseed
14,260,linseed
15,203,linseed
16,148,linseed
17,169,linseed
18,213,linseed
19,257,linseed
20,244,linseed
21,271,linseed
22,243,soybean
23,230,soybean
24,248,soybean
25,327,soybean
26,329,soybean
27,250,soybean
28,193,soybean
29,271,soybean
30,316,soybean
31,267,soybean
32,199,soybean
33,171,soybean
34,158,soybean
35,248,soybean
36,423,sunflower
37,340,sunflower
38,392,sunflower
39,339,sunflower
40,341,sunflower
41,226,sunflower
42,320,sunflower
43,295,sunflower
44,334,sunflower
45,322,sunflower
46,297,sunflower
47,318,sunflower
48,325,meatmeal
49,257,meatmeal
50,303,meatmeal
51,315,meatmeal
52,380,meatmeal
53,153,meatmeal
54,263,meatmeal
55,242,meatmeal
56,206,meatmeal
57,344,meatmeal
58,258,meatmeal
59,368,casein
60,390,casein
61,379,casein
62,260,casein
63,404,casein
64,318,casein
65,352,casein
66,359,casein
67,216,casein
68,222,casein
69,283,casein
70,332,casein
